timestamp,trip_id,route_id,trip_start_time,trip_start_date,vehicle_id,vehicle_label,vehicle_license_plate,latitude,longitude,bearing,speed,stop_id,stop_status,occupancy_status,congestion_level,progress,block_assigned,dist_along_route,dist_from_stop,mid,stop_sequence
2023-05-17 06:33:22+00,KB_B3-Weekday-SDon-154500_BX1_144,BX1,,2023-05-16,MTA NYCT_1206,,,40.878326,-73.903244,160.18,,100065,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844865,
2023-05-17 06:33:32+00,35601784-JKPB3-JK_B3-Weekday-02-SDon,Q60,,2023-05-17,MTABC_3813,,,40.748596,-73.937103,316.43,,503293,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844865,
2023-05-17 06:33:19+00,35601779-JKPB3-JK_B3-Weekday-02-SDon,Q60,,2023-05-17,MTABC_3827,,,40.730644,-73.863144,160.15,,504403,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844865,
2023-05-17 06:33:24+00,35718011-LGPB3-LG_B3-Weekday-21,Q18,,2023-05-16,MTABC_7468,,,40.731415,-73.898598,182.31,,550572,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844865,
2023-05-17 06:33:22+00,35671963-BPPB3-BP_B3-Weekday-02-SDon,Q110,,2023-05-17,MTABC_3767,,,40.714653,-73.740166,163.60,,501962,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844865,
2023-05-17 06:33:24+00,35721234-LGPB3-LG_B3-Weekday-21,Q70+,,2023-05-17,MTABC_6279,,,40.743187,-73.897728,168.57,,982205,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844865,
2023-05-17 06:33:28+00,35721245-LGPB3-LG_B3-Weekday-21,Q70+,,2023-05-17,MTABC_6275,,,40.772087,-73.873024,350.02,,503848,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844865,
2023-05-17 06:33:44+00,35720947-LGPB3-LG_B3-Weekday-21,Q53+,,2023-05-17,MTABC_6272,,,40.745747,-73.903328,244.37,,553332,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844865,
2023-05-17 06:33:26+00,35720962-LGPB3-LG_B3-Weekday-21,Q53+,,2023-05-17,MTABC_6265,,,40.675354,-73.843437,284.78,,553360,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844865,
2023-05-17 06:33:20+00,35623030-CPPB3-CP_B3-Weekday-02-SDon,Q25,,2023-05-17,MTABC_612,,,40.776134,-73.838806,117.91,,551018,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844865,
2023-05-17 06:33:29+00,35624326-CPPB3-CP_B3-Weekday-02-SDon,Q66,,2023-05-17,MTABC_656,,,40.751354,-73.942459,335.95,,553033,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844865,
2023-05-17 06:33:25+00,35624358-CPPB3-CP_B3-Weekday-02-SDon,Q66,,2023-05-17,MTABC_646,,,40.756550,-73.925056,335.19,,551857,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844865,
2023-05-17 06:33:40+00,35623858-CPPB3-CP_B3-Weekday-02-SDon,Q65,,2023-05-17,MTABC_630,,,40.782375,-73.845901,86.58,,505020,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844865,
2023-05-17 06:33:29+00,35720241-LGPB3-LG_B3-Weekday-21,Q101,,2023-05-17,MTABC_7478,,,40.761654,-73.962875,158.12,,401764,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844865,
2023-05-17 06:33:32+00,35671188-BPPB3-BP_B3-Weekday-02-SDon,Q64,,2023-05-17,MTABC_3984,,,40.731712,-73.804985,86.76,,982088,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844865,
2023-05-17 06:33:33+00,35718992-LGPB3-LG_B3-Weekday-21,Q33,,2023-05-17,MTABC_3962,,,40.747089,-73.889404,6.12,,503312,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844865,
